ID,SuveyID_DoNotUse,Proofed_MC,Year,County,WaterbodyName,SiteName,Affiliation,SurveyType,Missing data,Corrections,surveyArea_ha,Survey Length (KM),# Survey Hours,# Surveys,0_Territories_FullProtocol,PO Territories,PR Territories,CO Territories,Breed_evidence,NumNests,Field21,NumDetected,Zone,StartX_UTME,StartY_UTMN,Start_Lat,Start_Long,StopX,StopY,StopLat,StopLong,Contact Info,VegType,Survey File Name,Incomplete or Complete Record,Comments,Field35,Legend,Comments between Susan and Maya,Nest1_X,Nest1_Y,Field40,Field41,Field42,Field43
16,16,,2014,Riverside,Lower Colorado River,PVER Phase 6,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,,5,1,25,,,,86,,,,,,,,,,,,,Incomplete,,,,,,,,,,
17,17,,2014,Riverside,Lower Colorado River,PVER Phase 7,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,,5,2,10,,,,52,,,,,,,,,,,,,Incomplete,,,,,,,,,,
18,18,,2014,Clark County,Muddy River,Overton Wildlife,Southern Sierra Research Station,Protocol,,,,,,,,1,,,,,,2,,,,,,,,,,,,,Incomplete,,,,,,,,,,
19,19,"Terr determined by mapping detections and dates, entered indiv detections",2014,Cochise,Babocomari River,Babocomari,Bureau of Land Management,Protocol,"territory data, contact info, overall vegetation characteristics ",,,NR,11.75,4,,1,3,,,,,11,12R,575577,3508681,31.71101381,-110.2023686,576346,3509966,,,,,,Incomplete,11 detections,,,,,,,,,
20,20,,2014,Cochise,Babocomari River,Middle Babocomari,Bureau of Land Management,Protocol,"territory data, contact info, overall vegetation characteristics ",,,,,,,,,,,,,1,12R,574220,3507972,31.70470643,-110.2167428,5756565,3508626,,,,,,Incomplete,1 detection,,,,,,,,,
21,21,,2014,Cochise,Babocomari River,Babocomari SPRNCA West,Bureau of Land Management,Protocol,"territory data, contact info, overall vegetation characteristics ",,,,12.5,4,,,,,,,,10,12R,572863,3507317,31.69888456,-110.2311111,574149,3507850,,,,,,Incomplete,9 detections,,,,,,,,,
22,22,mc,2014,Graham,Gila River,Fort Thomas Preserve & Fort Thomas HB Preserve,"EcoPlan Associates, Inc.",protocol,"Contact info, vegetation characteristics","mc - fixed utms per data sheet, estimated terr per map/Start_Y, Fixed corrupt pdf file by opening it in Edge and re-downloading it",,7.2,21.5,5,,1,4,,,,,27,12S,598529,3649964,32.98361381,-109.9454838,600507,3654578,,,tashbeck@ecoplanaz.com,2,,Incomplete,"27 total detections - 24 in Fort Thomas Preserve and 3 in HB Preserve; all surveys transferred into one giant excel file.Has surveys by different people on consecutive days, report lists ""5"" separate surveys by period with 5-6 ""pairs""",,,No territory data?  Susan will need to contact them ,,,,,,
23,23,,2014,La Paz,Lower Colorado River,CVCA Phase 01,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,,1,1,,,,,8,,,,,,,,,,,,,Incomplete,,,,,,,,,,
24,24,,2014,La Paz,Lower Colorado River,CVCA Phase 02,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,,,,1,,,,3,,,,,,,,,,,,,Incomplete,,,,,,,,,,
25,25,,2014,La Paz,Lower Colorado River,CVCA Phase 03,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,0,,,,,,,0,,,,,,,,,,,,,Incomplete,No detections,,,,,,,,,
26,26,,2014,La Paz,Lower Colorado River,CVCA Phase 04W,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,0,,,,,,,0,,,,,,,,,,,,,Incomplete,"No detections, only surveyed once",,,,,,,,,
27,27,,2014,La Paz,Lower Colorado River,Cottonwood Genetics,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,0,,,,,,,2,,,,,,,,,,,,,Incomplete,2 detections (No territories),,,,,,,,,
28,28,,2014,La Paz,Lower Colorado River,Crane Roost,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,,1,2,3,,,,28,,,,,,,,,,,,,Incomplete,,,,,,,,,,
29,29,,2014,La Paz,Lower Colorado River,CW North,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,0,,,,,,,1,11S,715804,3695154,33.37400155,-114.680271,716197,3695354,,,,,,Incomplete,1 detection (no territories),,,,,,,,,
30,30,,2014,La Paz,Lower Colorado River,Mass Transplanting,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,8.1,,,5,0,,,,,,,0,11S,715407,3694153,33.36506875,-114.6847743,715826,3694554,,,dtracy.ssrs@gmail.com,,,Incomplete,No detections,,,,,,,,,
31,31,,2014,La Paz,Lower Colorado River,Nature Trail,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,14.5,,,5,,,,1,,,,3,11S,715817,3694155,33.36499552,-114.6803704,716183,3694568,,,dtracy.ssrs@gmail.com,1,,Incomplete,,,,,,,,,,
32,32,,2014,Maricopa,Agua Fria River,Agua Fria,U.S. Bureau of Reclamation,Protocol,"Contact info, vegetation characteristics",,,,,,0,,,,,,,0,12S,381836,3744249,33.83188337,-112.2770028,381851,3744600,,,,,,Incomplete,No detections; only one survey done,,,,,,,,,
33,33,,2014,Maricopa,Agua Fria River,Morgan City Wash,U.S. Bureau of Reclamation,Protocol,"Contact info, vegetation characteristics",,,,,,0,,,,,,,1,12S,381804,3744626,33.83527917,-112.2773991,380875,3745485,,,,,,Incomplete,"2 detections; 1 on survey 1, 1 on survey 4, so likely 0 territories. No mention ofbreeding behavior in notes.",,,,,,,,,
34,34,,2014,Mohave,Colorado River,Topock YBCU Site 1,Garcia and Associates (GANDA),Protocol,"Magnetic North Declination, elevation, vegetation characteristics",,,,,,0,,,,,,,1,11S,730119,3844889,34.72018702,-114.4870046,730302,3844935,,,,,,Incomplete,"1 detection, but not during ""normal survey effort."" Likely no territories",,,,,,,,,
35,35,,2014,Mohave,Colorado River,Topock YBCU Site 2,Garcia and Associates (GANDA),Protocol,"Magnetic North Declination, elevation, vegetation characteristics",StartY,,,,,0,,,,,,,0,11S,730616,3846747,34.73681389,-114.4810737,731024,3846250,,,,,,Incomplete,No detections,,,,,,,,,
36,36,,2014,Mohave,Lower Colorado River,Beal CPhase 05_06,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",Std Site name,,,,,,,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
37,37,,2014,Mohave,Topock Marsh,Pintail Slough,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,,1,,,,,,3,,,,,,,,,,,,,Incomplete,1 detection (no territories),,,,,,,,,
38,38,,2014,Mohave,Topock Marsh,Topock Platform,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,0,,,,,,,1,,,,,,,,,,,,,Incomplete,,,,Fernando had 1 PR but the data sheet doesn't say this. Do you think this was just a mistake?  Susan will check,,,,,,
39,39,,2014,Mexico,Río Cocóspera,El Aribabi Ranch 1,Tim Flood- Volunteer Cuckoo Surveyor,Protocol,"Contact info, vegetation characteristics",,,,,,0,,,,,,,3,12R,532128,3414083,30.85953168,-110.6639541,531756,3413398,,,,,,Incomplete,1 survey done; 3 detections,,,,,,,,,
40,40,,2014,Mexico,Río Cocóspera,El Aribabi Ranch 2,Tim Flood- Volunteer Cuckoo Surveyor,Protocol,"Contact info, vegetation characteristics",,,,,,0,,,,,,,1,12R,531756,3413395,30.85333371,-110.6678664,531159,3413298,,,,,,Incomplete,1 detection; 1 survey done (continuation of El Aribabi Ranch #1),,,,,,,,,
41,41,,2014,Tribal Land,Ahaklav Tribal Preserve,Colorado River Indian Tribe (CRIT 09),Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,,1,,,,,,4,,,,,,,,,,,,,Incomplete,,,,,,,,,,
42,42,,2014,Pima ,Barrel Canyon,Upper Barrel,Westland Resources,Protocol,,,,,,,,1,,,,,,3,12R,525367,3522129,31.83455598,-110.7319199,523634,3518949,,,vanessa_burge@fws.gov,1,,Complete,2 YBCUs; report discusses evidence of 'probable breeding' but no evidence for 'possible breeding',,,,,,,,,
43,43,,2014,Pima ,Barrel Canyon,Lower Barrel,Westland Resources,Protocol,,,,,,,,,1,,,,,5,12R,527287,3523487,31.84676338,-110.7115913,525340,3522097,,,vanessa_burge@fws.gov,1,,Complete,5 YBCUs observed; report discusses evidence of 'probable breeding' but no evidence for 'possible breeding',,,,,,,,,
44,44,,2014,Pima ,Wasp Canyon,Wasp,Westland Resources,Protocol,,,,3.6,22.5,4,0,,,,,,,0,12R,525318,3522130,31.83456609,-110.7324377,522245,3520480,,,vanessa_burge@fws.gov,1,,Complete,No detections,,,,,,,,,
45,45,,2014,Pima ,McCleary Canyon,McCleary,Westland Resources,Protocol,,,,,,,0,,,,,,,0,12R,526922,3523448,31.84642022,-110.7154502,524752,3523962,,,vanessa_burge@fws.gov,1,,Complete,No detections,,,,,,,,,
46,46,,2014,Pima ,Rosemont Springs,Rosemont Springs,Westland Resources,Protocol,,,,,,,0,,,,,,,0,12R,524863,3521361,31.82763822,-110.7372658,524106,3521276,,,vanessa_burge@fws.gov,1,,Complete,No detections,,,,,,,,,
47,47,,2014,Pinal,Picacho Reservoir,Picacho Reservoir,"USFWS Marty Jakle, Frank Baucom",Incidental,"GPS Points, general context of siting",,,,,,,,,1,nest 15 ft up in tam tree,1,,,12S,,,,,,,,,,,,,"Siting occurred while Marty and Frank were taking vegetation data. Saw a nest, so likely 1 CO. 15 ft in tree above ground.",,,,,,,,,
48,48,,2014,Santa Cruz,Pena Blanca Lake,Pena Blanca Lake,Tim Helentjaris,Incidental,GPS Points,,,,,,,,,,,,,1,12R,,,,,,,,,,,,,File is a word doc of what seems to be an email of an incidental YBCU sighting at Pena Blanca Lake of an adult carrying an apparentely very large caterpillar.,,,,,,,,,
49,49,,2014,Yavapai,Oak Creek,Spring Creek,U.S. Bureau of Reclamation,Protocol,"Contact info, vegetation characteristics",,,,,,0,,,,,,,0,12S,416671,3845731,34.75030705,-111.9104075,416297,3845828,,,,,,Incomplete,No detections; only 3 surveys done,,,,,,,,,
50,50,,2014,Yuma,Laguna Reach,Mittry,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,0,,,,,,,1,,,,,,,,,,,,,Incomplete,1 detection (no territories),,,,,,,,,
51,51,,2014,Yuma,Lower Colorado River,South AC South C I,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",chnaged waterbody to LCR form YEW,40.6,1.6,,,0,,,,,,,0,,,,,,,,,,,,,Incomplete,no detections,,,,,,,,,
52,52,mc,2014,"La Paz, Mohave",Bill Williams River,Cave Wash,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form","Standardized waterbody name, added site attributes, corrected county",44.9,,,5,0,,,,,,,1,,,,,,,,,,,,,Incomplete,1 detection (no territories),,,,,,,,,
53,53,mc,2014,"La Paz, Mohave",Bill Williams River,Cougar Point,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form","Standardized waterbody name, added site attributes, corrected county",49.7,,,4,0,,,,,,,0,11S,773709,3794905,34.25928925,-114.0275368,774600,3796100,,,dtracy.ssrs@gmail.com,,,Incomplete,No detections,,,,,,,,,
54,54,mc,2014,"La Paz, Mohave",Bill Williams River,Esquerra Ranch,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",Standardize waterbody name,73.9,,,5,,1,,,,,,3,11S,774295,3794262,34.25334374,-114.0213848,775725,3795904,,,dtracy.ssrs@gmail.com,,,Incomplete,,,,,,,,,,
55,55,mc,2014,"La Paz, Mohave",Bill Williams River,Gibraltar Rock,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form","Standardized waterbody name, added site attributes, corrected county",90.1,,,5,0,,,,,,,0,11S,772083,3794393,34.25510446,-114.0453249,774168,3796033,,,dtracy.ssrs@gmail.com,,,Incomplete,No detections,,,,,,,,,
56,56,mc,2014,"La Paz, Mohave",Bill Williams River,Honeycomb Bend,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form","Standardized waterbody name, added site attributes, corrected county",24.8,,,5,,1,,1,,,,7,,,,,,,,,,,,,Incomplete,,,,,,,,,,
57,57,mc,2014,"La Paz, Mohave",Bill Williams River,Kohen Ranch,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, vegetation form","standardized waterbody name, copied site attributes",43.4,,,5,,1,,,,,,2,11,772887,3794895,34.25941526,-114.0364563,773775,3795923,,,dtracy.ssrs@gmail.com,1,,Incomplete,,,,,,,,,,
58,58,mc,2014,La Paz,Bill Williams River,Mineral Wash,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, vegetation form","standardized site name, added site attributes",41,1.7,,5,,,,3,,,,9,11S,775701,3794249,34.25285485,-114.0061392,777379,3794638,,,,,,Incomplete,,,,Nests or not? Susan will check with SSRS,,,,,,
59,59,mc,2014,"La Paz, Mohave",Bill Williams River,Borrow Pit,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form","Standardized waterbody name, added site attributes, corrected county",37.8,,,5,,1,,,,,,2,,,,,,,,,,,,,Incomplete,,,,,,,,,,
60,60,mc,2014,"La Paz, Mohave",Bill Williams River,BW Marsh,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form","Standardized waterbody name, added site attributes, corrected county",18.3,,,4,0,,,,,,,0,,,,,,,,,,,,,Incomplete,No detections,,,,,,,,,
61,61,mc,2014,"La Paz, Mohave",Bill Williams River,Cross River,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form","Standardized waterbody name, added site attributes, corrected county",50.5,,,5,0,,,,,,,2,,,,,,,,,,,,,Incomplete,2 detections (no territories),,,,,,,,,
62,62,mc,2014,"La Paz, Mohave",Bill Williams River,Fox Wash,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form","Standardized waterbody name, added site attributes, corrected county",90.8,,,4,0,,,,,,,2,,,,,,,,,,,,,Incomplete,2 detections (no territories),,,,,,,,,
63,63,mc,2014,"La Paz, Mohave",Bill Williams River,Middle Delta,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form","Standardized waterbody name, added site attributes, corrected county",39.2,,,4,0,,,,,,,1,,,,,,,,,,,,,Incomplete,1 detection (no territories),,,,,,,,,
64,64,mc,2014,"La Paz, Mohave",Bill Williams River,Mosquito Flats Site 12,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form","Standardized waterbody name, added site attributes, corrected county",23.6,,,5,,1,,,,,,3,,,,,,,,,,,,,Incomplete,,,,,,,,,,
65,65,mc,2014,"La Paz, Mohave",Bill Williams River,Mosquito Flats Site 13,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form","Standardized waterbody name, added site attributes, corrected county",35.3,,,4,0,,,,,,,0,,,,,,,,,,,,,Incomplete,No detections,,,,,,,,,
66,66,mc,2014,"La Paz, Mohave",Bill Williams River,North Burn,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form","Standardized waterbody name, added site attributes, corrected county",42.1,,,4,0,,,,,,,0,,,,,,,,,,,,,Incomplete,No detections,,,,,,,,,
67,67,mc,2014,La Paz,Bill Williams River,Sandy Wash,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form","Standardized waterbody name, added site attributes, corrected county",80.8,2,,5,,1,,,,,,4,11S,771246,3795672,34.26684281,-114.0540126,772571,3796894,,,dtracy.ssrs@gmail.com,1,,Incomplete,,,,,,,,,,
68,68,,2015,Cochise,San Pedro River,BLM Cascabel,Cascabel Conservation Association,Protocol,State Permit #; territory data; maps,,,2.1,8.42,4,,1,,,,,,9,12S,554808,3578136,32.33877186,-110.4175997,555434,3577155,,,scottw@cascabelconservation.org,1,,Complete,9 detections,,,,,,,,,
69,69,,2015,Cochise,Lyle Canyon,Lyle Canyon,Tucson Audubon Society,Protocol,Territory data,"points out of order spatially, i.e. end point is start of first survey, start pt is start f 2nd survey.",,4.3,10.7,4,,,2,,,,,9,12S,549082,3485019,31.49897765,-110.4831621,551211,3482231,31.47373142,-110.4608886,,,,Incomplete,"9 detections; 2 BT & 0 OT; pgs. 38-41: Korn and Lyle form a ""complex,"" described in report pgs. 40-41",Canelo Hills,,,,,,,,
70,70,Multiple survey routes overlap,2015,Cochise,Cave Creek,South Fork of Cave Creek,Tucson Audubon Society,Protocol,,,,,,3,,,,,,,,0,12S,,,,,,,,,,,,Incomplete,No detections; pgs. 70-71,Chiricahuas Mountains,,,,,,,,
71,71,Multiple survey routes overlap,2015,Cochise,Cave Creek,Cave Creek at Stewart Campground,Tucson Audubon Society,Protocol,,,,,,5,0,,,,,,,0,12S,,,,,,,,,,,,Incomplete,No detections; pgs. 72-73,Chiricahuas Mountains,,,,,,,,
72,72,Multiple survey routes overlap,2015,Cochise,Cave Creek,Cave Creek at SW Research Station,Tucson Audubon Society,Protocol,,,,,,4,0,,,,,,,0,12S,,,,,,,,,,,,Incomplete,No detections; pgs. 74-75,Chiricahuas Mountains,,,,,,,,
73,73,,2015,Cochise,Cave Creek,Lower Cave Creek,Tucson Audubon Society,Protocol,,,,,,3,,,,,,,,0,12S,,,,,,,,,,,,Incomplete,No detections; pgs. 76-77,Chiricahuas Mountains,,,,,,,,
74,74,,2015,Cochise,Carr Canyon,Carr Canyon,Tucson Audubon Society,Protocol,,"changed to 3 surveys, 4th outside of window.",,1.2,4.6,3,0,,,,,,,0,12S,568075,3479477,31.44801,-110.284,567888,3478476,31.43899,-110.286,,,,Incomplete,No detections; pgs. 80-81,Huachuca Mountains,,,,,,,,
75,75,,2015,Cochise,Hunter Canyon,Hunter Canyon,Tucson Audubon Society,Protocol,Territory data,5th survey in Sept with only 3 pts with no time?,,2.3,11.6,4,,,,,,,,1,12S,572107,3474742,31.40505193,-110.2414695,570210,3475036,31.40782089,-110.2614028,,,,Incomplete,1 detections; 0 BT & 1 OT; pgs. 82-83,Huachuca Mountains,,,,,,,,
76,76,no times for Sept survey,2015,Cochise,Miller Canyon,Miller Canyon,Tucson Audubon Society,Protocol,Territory data,,,2,10.05,5,,1,,,,,,2,12S,570463,3476997,31.42549744,-110.2586023,568846,3475901,31.41570672,-110.2756909,,,,Incomplete,2 detections; 0 BT & 1 OT; pgs. 84-85,Huachuca Mountains,,,,,,,,
77,77,times missing from last survey on 9/10,2015,Cochise,Ramsey Canyon,Ramsey Canyon,Tucson Audubon Society,Protocol,,,,1,4.75,4,0,,,,,,,0,12S,565787,3479415,31.44758771,-110.3076388,565071,3478994,31.44382997,-110.3152013,,,,Incomplete,No detections; pgs. 86-87,Huachuca Mountains,,,,,,,,
78,78,,2015,Cochise,Dry Canyon,Dry Canyon,Tucson Audubon Society,Protocol,,,,1.1,2.15,1,,,,,,,,0,12S,556182,3516771,31.7851153,-110.406585,555193,3517156,31.78863688,-110.4170089,,,,Incomplete,No detections; pgs. 114-115,Whetstone Mountains,,,,,,,,
79,79,,2015,Cochise,French Joe Canyon,French Joe Canyon,Tucson Audubon Society,Protocol,Territory data,mapped points to est start/stop and distance surveyed (mc),,1.75,7.49,4,,,1,,,,,3,12S,558311,3519324,31.80804062,-110.383946,556919,3519815,31.81254054,-110.3986231,,,,Incomplete,3 detections; 0 BT & 1 OT; pgs. 116-117,Whetstone Mountains,,,,,,,,
80,80,,2015,Cochise,Guindani Canyon,Guindani Canyon,Tucson Audubon Society,Protocol,Territory data,,,,,4,,1,,1,,,,5,12S,560679,3522662,31.83803085,-110.3587214,558774,3523016,31.84132435,-110.3788317,,,,Incomplete,5 detections; 0 BT & 1 OT; pgs. 118-119,Whetstone Mountains,,,,,,,,
81,81,,2015,Cochise,Middle Canyon,Middle Canyon,Tucson Audubon Society,Protocol,,,,0.9,,1,0,,,,,,,0,12S,558748,3521864,31.8309329,-110.3791761,557594,3522334,31.83523194,-110.3913426,,,,Incomplete,No detections; pgs. 120-121,Whetstone Mountains,,,,,,,,
82,82,,2015,Cochise,Mine Canyon,Mine Canyon,Tucson Audubon Society,Protocol,,,,1.57,2.3,1,,,,,,,,0,12S,555742,3514139,31.76139186,-110.4113826,554829,3515268,31.77162152,-110.4209597,,,,Incomplete,No detections; pgs. 122-123,Whetstone Mountains,,,,,,,,
83,83,,2015,Gila,Salt River,Rockhouse Demonstration Site,Salt River Project,Protocol,,,,0.5,5.9,4,0,,,,,,,0,12S,505013,3721515,33.63343965,-110.9459472,505460,3721310,,,heather.english@srpnet.com,1,,Complete,No detections; all info on one pdf form,,,,,,,,,
84,84,,2015,Gila,Pinto Creek,Pinto Valley_Pinto Creek Transect,Westland Resources,Protocol,Excel spreadsheet,,,3,19.5,4,0,,,,,,,0,12S,499217,3697947,33.42087695,-111.0084221,499593,3700544,,,jtress@westlandresources.com ,1,,Complete,No detections,,,,,,,,,
85,85,,2015,Gila,Gold Gulch,Pinto Valley_Gold Gulch Transect,Westland Resources,Protocol,Excel spreadsheet,,,1.8,15.25,4,0,,,,,,,0,12S,501244,3697702,33.41866667,-110.9866197,499672,3698592,,,jtress@westlandresources.com ,1,,Complete,No detections,,,,,,,,,
86,86,,2015,Gila,Eastwater Canyon,Eastwater Canyon,Westland Resources,Protocol,Excel spreadsheet,Stds site name to match per 2016 indicates yet to surveyed same general area,,1.8,15.75,4,0,,,,,,,0,12S,502853,3699904,33.4385251,-110.9693064,504025,3699060,,,jtress@westlandresources.com ,1,,Complete,No detections,,,,,,,,,
87,87,,2015,Gila,Pinal Creek,Pinal Creek South Transect Seg,Westland Resources,Protocol,Excel spreadsheet,,,1.1,8,4,0,,,,,,,3,12S,512031,3710279,33.53204023,-110.8704271,511646,3711158,,,jtress@westlandresources.com ,1,,Complete,"3 detections, no territories; survey forms combined with other Pinal Creek sites",,,,,,,,,
88,88,,2015,Gila,Pinal Creek,Pinal Creek North Transect Seg,Westland Resources,Protocol,Excel spreadsheet,,,1.6,10.5,4,,,1,,,,,7,12S,510170,3713304,33.55934377,-110.8904354,509425,3714522,,,jtress@westlandresources.com ,1,,Complete,1 PR (7 detections); survey forms combined with other Pinal Creek sites,,,,,,,,,
89,89,,2015,Gila,Pinal Creek,Pinal Creek North-Central Transect Seg,Westland Resources,Protocol,Excel spreadsheet,,,1.2,10.5,4,,,1,,,,,8,12S,510926,3712132,33.54876538,-110.8823052,510391,3713252,,,jtress@westlandresources.com ,1,,Complete,1 PR (8 detections); survey forms combined with other Pinal Creek sites,,,,,,,,,
